i=7, j=3, k=2, Temperature=29.8398
i=8, j=3, k=2, Temperature=30.1016
i=9, j=3, k=2, Temperature=29.1712
i=10, j=3, k=2, Temperature=29.3427
i=11, j=3, k=2, Temperature=27.8228
i=12, j=3, k=2, Temperature=25.1356
i=13, j=3, k=2, Temperature=22.7874
i=14, j=3, k=2, Temperature=21.2553
i=15, j=3, k=2, Temperature=22.3
i=16, j=3, k=2, Temperature=22.3
i=0, j=3, k=3, Temperature=22.3
i=1, j=3, k=3, Temperature=22.3
i=2, j=3, k=3, Temperature=16.6551
i=3, j=3, k=3, Temperature=20.7889
i=4, j=3, k=3, Temperature=26.5155
i=5, j=3, k=3, Temperature=31.2739
i=6, j=3, k=3, Temperature=33.8786
i=7, j=3, k=3, Temperature=35.2662
i=8, j=3, k=3, Temperature=38.0181
i=9, j=3, k=3, Temperature=38.8748
i=10, j=3, k=3, Temperature=34.9058
i=11, j=3, k=3, Temperature=32.07
i=12, j=3, k=3, Temperature=28.6816
i=13, j=3, k=3, Temperature=24.399
i=14, j=3, k=3, Temperature=21.4454
i=15, j=3, k=3, Temperature=22.3
i=16, j=3, k=3, Temperature=22.3
i=0, j=3, k=4, Temperature=22.3
i=1, j=3, k=4, Temperature=22.3
i=2, j=3, k=4, Temperature=16.6597
i=3, j=3, k=4, Temperature=20.8122
i=4, j=3, k=4, Temperature=26.5402
i=5, j=3, k=4, Temperature=31.283
i=6, j=3, k=4, Temperature=33.8742
i=7, j=3, k=4, Temperature=35.2587
i=8, j=3, k=4, Temperature=38.0078
i=9, j=3, k=4, Temperature=38.8658
i=10, j=3, k=4, Temperature=34.8956
i=11, j=3, k=4, Temperature=32.0652
i=12, j=3, k=4, Temperature=28.6808
i=13, j=3, k=4, Temperature=24.3981
i=14, j=3, k=4, Temperature=21.4453
i=15, j=3, k=4, Temperature=22.3
i=16, j=3, k=4, Temperature=22.3
i=0, j=3, k=5, Temperature=22.3
i=1, j=3, k=5, Temperature=22.3
i=2, j=3, k=5, Temperature=19.514
i=3, j=3, k=5, Temperature=21.3854
i=4, j=3, k=5, Temperature=23.9705
i=5, j=3, k=5, Temperature=27.2808
i=6, j=3, k=5, Temperature=29.0372
i=7, j=3, k=5, Temperature=29.408
i=8, j=3, k=5, Temperature=29.5564
i=9, j=3, k=5, Temperature=28.319
i=10, j=3, k=5, Temperature=28.7926
i=11, j=3, k=5, Temperature=27.4935
i=12, j=3, k=5, Temperature=24.7531
i=13, j=3, k=5, Temperature=22.6971
i=14, j=3, k=5, Temperature=21.244
i=15, j=3, k=5, Temperature=22.3
i=16, j=3, k=5, Temperature=22.3
i=0, j=3, k=6, Temperature=22.3
i=1, j=3, k=6, Temperature=22.3
i=2, j=3, k=6, Temperature=19.516
i=3, j=3, k=6, Temperature=21.3845
i=4, j=3, k=6, Temperature=23.9604
i=5, j=3, k=6, Temperature=27.2056
i=6, j=3, k=6, Temperature=28.9335
i=7, j=3, k=6, Temperature=29.2752
i=8, j=3, k=6, Temperature=29.3695
i=9, j=3, k=6, Temperature=28.1197
i=10, j=3, k=6, Temperature=28.6578
i=11, j=3, k=6, Temperature=27.3996
i=12, j=3, k=6, Temperature=24.7181
i=13, j=3, k=6, Temperature=22.672
i=14, j=3, k=6, Temperature=21.2408
i=15, j=3, k=6, Temperature=22.3
i=16, j=3, k=6, Temperature=22.3
i=0, j=3, k=7, Temperature=22.3
i=1, j=3, k=7, Temperature=22.3
i=2, j=3, k=7, Temperature=19.5147
i=3, j=3, k=7, Temperature=21.3714
i=4, j=3, k=7, Temperature=23.9437
i=5, j=3, k=7, Temperature=27.1701
i=6, j=3, k=7, Temperature=28.8761
i=7, j=3, k=7, Temperature=29.1736
i=8, j=3, k=7, Temperature=29.2077
i=9, j=3, k=7, Temperature=28.0388
i=10, j=3, k=7, Temperature=28.6002
i=11, j=3, k=7, Temperature=27.361
i=12, j=3, k=7, Temperature=24.6969
i=13, j=3, k=7, Temperature=22.6546
i=14, j=3, k=7, Temperature=21.2383
i=15, j=3, k=7, Temperature=22.3
i=16, j=3, k=7, Temperature=22.3
i=0, j=3, k=8, Temperature=22.3
i=1, j=3, k=8, Temperature=22.3
i=2, j=3, k=8, Temperature=19.4108
i=3, j=3, k=8, Temperature=20.3901
i=4, j=3, k=8, Temperature=22.4392
i=5, j=3, k=8, Temperature=25.8001
i=6, j=3, k=8, Temperature=27.354
i=7, j=3, k=8, Temperature=27.5339
i=8, j=3, k=8, Temperature=27.3771
i=9, j=3, k=8, Temperature=25.4519
i=10, j=3, k=8, Temperature=26.8144
i=11, j=3, k=8, Temperature=25.8808
i=12, j=3, k=8, Temperature=23.0104
i=13, j=3, k=8, Temperature=21.318
i=14, j=3, k=8, Temperature=20.9929
i=15, j=3, k=8, Temperature=22.3
i=16, j=3, k=8, Temperature=22.3
i=0, j=4, k=0, Temperature=22.3
i=1, j=4, k=0, Temperature=22.3
i=2, j=4, k=0, Temperature=22.3
i=3, j=4, k=0, Temperature=25.08
i=4, j=4, k=0, Temperature=25.08
i=5, j=4, k=0, Temperature=25.08
i=6, j=4, k=0, Temperature=25.08
i=7, j=4, k=0, Temperature=19.8195
i=8, j=4, k=0, Temperature=19.8195
i=9, j=4, k=0, Temperature=72.0081
i=10, j=4, k=0, Temperature=25.08
i=11, j=4, k=0, Temperature=25.08
i=12, j=4, k=0, Temperature=25.08
i=13, j=4, k=0, Temperature=25.08
i=14, j=4, k=0, Temperature=22.3
i=15, j=4, k=0, Temperature=22.3
i=16, j=4, k=0, Temperature=22.3
i=0, j=4, k=1, Temperature=22.3
i=1, j=4, k=1, Temperature=22.3
i=2, j=4, k=1, Temperature=22.3
i=3, j=4, k=1, Temperature=13.0071
i=4, j=4, k=1, Temperature=16.3197
i=5, j=4, k=1, Temperature=20.4657
i=6, j=4, k=1, Temperature=21.3324
i=7, j=4, k=1, Temperature=21.5347
i=8, j=4, k=1, Temperature=21.9641
i=9, j=4, k=1, Temperature=22.0314
i=10, j=4, k=1, Temperature=21.4624
i=11, j=4, k=1, Temperature=19.9671
i=12, j=4, k=1, Temperature=18.0397
